End Date of MMWR Week,Respiratory Illness,Age Group,Weekly Count ED Visits,as_of
2024-02-24,COVID-19,65+ Years,14673,2025-02-21
2024-02-24,Influenza,All Ages,80452,2025-02-21
2024-02-24,Influenza,00-01 Years,4638,2025-02-21
2024-02-24,Influenza,02-04 Years,6975,2025-02-21
2024-02-24,Influenza,05-11 Years,15529,2025-02-21
2024-02-24,Influenza,12-17 Years,6784,2025-02-21
2024-02-24,Influenza,18-64 Years,37726,2025-02-21
2024-02-24,Influenza,65+ Years,8800,2025-02-21
2024-02-24,RSV,All Ages,6173,2025-02-21
2024-02-24,RSV,00-01 Years,2461,2025-02-21
2024-02-24,RSV,02-04 Years,884,2025-02-21
2024-02-24,RSV,05-11 Years,333,2025-02-21
2024-02-24,RSV,12-17 Years,70,2025-02-21
2024-02-24,RSV,18-64 Years,1194,2025-02-21
2024-02-24,RSV,65+ Years,1231,2025-02-21
2024-02-24,Combined,All Ages,128671,2025-02-21
2024-02-24,Combined,00-01 Years,10899,2025-02-21
2024-02-24,Combined,02-04 Years,8726,2025-02-21
2024-02-24,Combined,05-11 Years,17285,2025-02-21
2024-02-24,Combined,12-17 Years,8267,2025-02-21
2024-02-24,Combined,18-64 Years,58790,2025-02-21
2024-02-24,Combined,65+ Years,24704,2025-02-21
2024-03-02,COVID-19,All Ages,34323,2025-02-28
2024-03-02,COVID-19,00-01 Years,2856,2025-02-28
2024-03-02,COVID-19,02-04 Years,641,2025-02-28
2024-03-02,COVID-19,05-11 Years,1015,2025-02-28
2024-03-02,COVID-19,12-17 Years,1118,2025-02-28
2024-03-02,COVID-19,18-64 Years,16216,2025-02-28
2024-03-02,COVID-19,65+ Years,12477,2025-02-28
2024-03-02,Influenza,All Ages,74543,2025-02-28
2024-03-02,Influenza,00-01 Years,4316,2025-02-28
2024-03-02,Influenza,02-04 Years,6222,2025-02-28
2024-03-02,Influenza,05-11 Years,13908,2025-02-28
2024-03-02,Influenza,12-17 Years,5924,2025-02-28
2024-03-02,Influenza,18-64 Years,35524,2025-02-28
2024-03-02,Influenza,65+ Years,8649,2025-02-28
2024-03-02,RSV,All Ages,5270,2025-02-28
2024-03-02,RSV,00-01 Years,2130,2025-02-28
2024-03-02,RSV,02-04 Years,694,2025-02-28
2024-03-02,RSV,05-11 Years,248,2025-02-28
2024-03-02,RSV,12-17 Years,90,2025-02-28
2024-03-02,RSV,18-64 Years,1034,2025-02-28
2024-03-02,RSV,65+ Years,1074,2025-02-28
2024-03-02,Combined,All Ages,114136,2025-02-28
2024-03-02,Combined,00-01 Years,9302,2025-02-28
2024-03-02,Combined,02-04 Years,7557,2025-02-28
2024-03-02,Combined,05-11 Years,15171,2025-02-28
2024-03-02,Combined,12-17 Years,7132,2025-02-28
2024-03-02,Combined,18-64 Years,52774,2025-02-28
2024-03-02,Combined,65+ Years,22200,2025-02-28
2024-03-09,COVID-19,All Ages,26976,2025-03-07
2024-03-09,COVID-19,00-01 Years,2324,2025-03-07
2024-03-09,COVID-19,02-04 Years,600,2025-03-07
2024-03-09,COVID-19,05-11 Years,803,2025-03-07
2024-03-09,COVID-19,12-17 Years,793,2025-03-07
2024-03-09,COVID-19,18-64 Years,12140,2025-03-07
2024-03-09,COVID-19,65+ Years,10316,2025-03-07
2024-03-09,Influenza,All Ages,64945,2025-03-07
2024-03-09,Influenza,00-01 Years,3710,2025-03-07
2024-03-09,Influenza,02-04 Years,5659,2025-03-07
2024-03-09,Influenza,05-11 Years,13143,2025-03-07
2024-03-09,Influenza,12-17 Years,5505,2025-03-07
2024-03-09,Influenza,18-64 Years,29646,2025-03-07
2024-03-09,Influenza,65+ Years,7282,2025-03-07
2024-03-09,RSV,All Ages,4340,2025-03-07
2024-03-09,RSV,00-01 Years,1724,2025-03-07
2024-03-09,RSV,02-04 Years,616,2025-03-07
2024-03-09,RSV,05-11 Years,231,2025-03-07
2024-03-09,RSV,12-17 Years,60,2025-03-07
2024-03-09,RSV,18-64 Years,801,2025-03-07
2024-03-09,RSV,65+ Years,908,2025-03-07
2024-03-09,Combined,All Ages,96261,2025-03-07
2024-03-09,Combined,00-01 Years,7758,2025-03-07
2024-03-09,Combined,02-04 Years,6875,2025-03-07
2024-03-09,Combined,05-11 Years,14177,2025-03-07
2024-03-09,Combined,12-17 Years,6358,2025-03-07
2024-03-09,Combined,18-64 Years,42587,2025-03-07
2024-03-09,Combined,65+ Years,18506,2025-03-07
2024-03-16,COVID-19,All Ages,20780,2025-03-14
2024-03-16,COVID-19,00-01 Years,1819,2025-03-14
2024-03-16,COVID-19,02-04 Years,421,2025-03-14
2024-03-16,COVID-19,05-11 Years,623,2025-03-14
2024-03-16,COVID-19,12-17 Years,538,2025-03-14
2024-03-16,COVID-19,18-64 Years,9336,2025-03-14
2024-03-16,COVID-19,65+ Years,8043,2025-03-14
2024-03-16,Influenza,All Ages,49523,2025-03-14
2024-03-16,Influenza,00-01 Years,3083,2025-03-14
2024-03-16,Influenza,02-04 Years,4408,2025-03-14
2024-03-16,Influenza,05-11 Years,9747,2025-03-14
2024-03-16,Influenza,12-17 Years,3954,2025-03-14
2024-03-16,Influenza,18-64 Years,22782,2025-03-14
2024-03-16,Influenza,65+ Years,5549,2025-03-14
2024-03-16,RSV,All Ages,3657,2025-03-14
2024-03-16,RSV,00-01 Years,1546,2025-03-14
2024-03-16,RSV,02-04 Years,491,2025-03-14
2024-03-16,RSV,05-11 Years,183,2025-03-14
2024-03-16,RSV,12-17 Years,49,2025-03-14
2024-03-16,RSV,18-64 Years,667,2025-03-14
2024-03-16,RSV,65+ Years,721,2025-03-14
2024-03-16,Combined,All Ages,73960,2025-03-14
2024-03-16,Combined,00-01 Years,6448,2025-03-14
2024-03-16,Combined,02-04 Years,5320,2025-03-14
2024-03-16,Combined,05-11 Years,10553,2025-03-14
2024-03-16,Combined,12-17 Years,4541,2025-03-14
2024-03-16,Combined,18-64 Years,32785,2025-03-14
2024-03-16,Combined,65+ Years,14313,2025-03-14
2024-03-23,COVID-19,All Ages,16931,2025-03-21
2024-03-23,COVID-19,00-01 Years,1526,2025-03-21
2024-03-23,COVID-19,02-04 Years,379,2025-03-21
2024-03-23,COVID-19,05-11 Years,541,2025-03-21
2024-03-23,COVID-19,12-17 Years,416,2025-03-21
2024-03-23,COVID-19,18-64 Years,7524,2025-03-21
2024-03-23,COVID-19,65+ Years,6545,2025-03-21
2024-03-23,Influenza,All Ages,39715,2025-03-21
2024-03-23,Influenza,00-01 Years,2488,2025-03-21
2024-03-23,Influenza,02-04 Years,3367,2025-03-21
2024-03-23,Influenza,05-11 Years,7235,2025-03-21
2024-03-23,Influenza,12-17 Years,3052,2025-03-21
2024-03-23,Influenza,18-64 Years,18991,2025-03-21
2024-03-23,Influenza,65+ Years,4582,2025-03-21
2024-03-23,RSV,All Ages,2996,2025-03-21
2024-03-23,RSV,00-01 Years,1254,2025-03-21
2024-03-23,RSV,02-04 Years,419,2025-03-21
2024-03-23,RSV,05-11 Years,126,2025-03-21
2024-03-23,RSV,12-17 Years,35,2025-03-21
2024-03-23,RSV,18-64 Years,523,2025-03-21
2024-03-23,RSV,65+ Years,639,2025-03-21
2024-03-23,Combined,All Ages,59642,2025-03-21
2024-03-23,Combined,00-01 Years,5268,2025-03-21
2024-03-23,Combined,02-04 Years,4165,2025-03-21
2024-03-23,Combined,05-11 Years,7902,2025-03-21
2024-03-23,Combined,12-17 Years,3503,2025-03-21
2024-03-23,Combined,18-64 Years,27038,2025-03-21
2024-03-23,Combined,65+ Years,11766,2025-03-21
2024-03-30,COVID-19,All Ages,15078,2025-03-28
2024-03-30,COVID-19,00-01 Years,1323,2025-03-28
2024-03-30,COVID-19,02-04 Years,316,2025-03-28
2024-03-30,COVID-19,05-11 Years,414,2025-03-28
2024-03-30,COVID-19,12-17 Years,374,2025-03-28
2024-03-30,COVID-19,18-64 Years,6671,2025-03-28
2024-03-30,COVID-19,65+ Years,5980,2025-03-28
2024-03-30,Influenza,All Ages,36886,2025-03-28
2024-03-30,Influenza,00-01 Years,2303,2025-03-28
2024-03-30,Influenza,02-04 Years,3095,2025-03-28
2024-03-30,Influenza,05-11 Years,6288,2025-03-28
2024-03-30,Influenza,12-17 Years,2572,2025-03-28
2024-03-30,Influenza,18-64 Years,17965,2025-03-28
2024-03-30,Influenza,65+ Years,4663,2025-03-28
2024-03-30,RSV,All Ages,2484,2025-03-28
2024-03-30,RSV,00-01 Years,1074,2025-03-28
2024-03-30,RSV,02-04 Years,373,2025-03-28
2024-03-30,RSV,05-11 Years,100,2025-03-28
2024-03-30,RSV,12-17 Years,22,2025-03-28
2024-03-30,RSV,18-64 Years,413,2025-03-28
2024-03-30,RSV,65+ Years,502,2025-03-28
2024-03-30,Combined,All Ages,54448,2025-03-28
2024-03-30,Combined,00-01 Years,4700,2025-03-28
2024-03-30,Combined,02-04 Years,3784,2025-03-28
2024-03-30,Combined,05-11 Years,6802,2025-03-28
2024-03-30,Combined,12-17 Years,2968,2025-03-28
2024-03-30,Combined,18-64 Years,25049,2025-03-28
2024-03-30,Combined,65+ Years,11145,2025-03-28
2024-04-06,COVID-19,All Ages,13569,2025-04-04
2024-04-06,COVID-19,00-01 Years,1154,2025-04-04
2024-04-06,COVID-19,02-04 Years,263,2025-04-04
2024-04-06,COVID-19,05-11 Years,315,2025-04-04
2024-04-06,COVID-19,12-17 Years,260,2025-04-04
2024-04-06,COVID-19,18-64 Years,6033,2025-04-04
2024-04-06,COVID-19,65+ Years,5544,2025-04-04
2024-04-06,Influenza,All Ages,30289,2025-04-04
2024-04-06,Influenza,00-01 Years,1844,2025-04-04
2024-04-06,Influenza,02-04 Years,2576,2025-04-04
2024-04-06,Influenza,05-11 Years,4415,2025-04-04
2024-04-06,Influenza,12-17 Years,1827,2025-04-04
2024-04-06,Influenza,18-64 Years,15650,2025-04-04
2024-04-06,Influenza,65+ Years,3977,2025-04-04
2024-04-06,RSV,All Ages,2218,2025-04-04
2024-04-06,RSV,00-01 Years,960,2025-04-04
2024-04-06,RSV,02-04 Years,304,2025-04-04
2024-04-06,RSV,05-11 Years,92,2025-04-04
2024-04-06,RSV,12-17 Years,24,2025-04-04
2024-04-06,RSV,18-64 Years,385,2025-04-04
2024-04-06,RSV,65+ Years,453,2025-04-04
2024-04-06,Combined,All Ages,46076,2025-04-04
2024-04-06,Combined,00-01 Years,3958,2025-04-04
2024-04-06,Combined,02-04 Years,3143,2025-04-04
2024-04-06,Combined,05-11 Years,4822,2025-04-04
2024-04-06,Combined,12-17 Years,2111,2025-04-04
2024-04-06,Combined,18-64 Years,22068,2025-04-04
2024-04-06,Combined,65+ Years,9974,2025-04-04
2024-04-13,COVID-19,All Ages,11568,2025-04-11
2024-04-13,COVID-19,00-01 Years,977,2025-04-11
2024-04-13,COVID-19,02-04 Years,233,2025-04-11
2024-04-13,COVID-19,05-11 Years,275,2025-04-11
2024-04-13,COVID-19,12-17 Years,294,2025-04-11
2024-04-13,COVID-19,18-64 Years,5100,2025-04-11
2024-04-13,COVID-19,65+ Years,4689,2025-04-11
2024-04-13,Influenza,All Ages,22905,2025-04-11
2024-04-13,Influenza,00-01 Years,1482,2025-04-11
2024-04-13,Influenza,02-04 Years,1940,2025-04-11
2024-04-13,Influenza,05-11 Years,3483,2025-04-11
2024-04-13,Influenza,12-17 Years,1393,2025-04-11
2024-04-13,Influenza,18-64 Years,11501,2025-04-11
2024-04-13,Influenza,65+ Years,3106,2025-04-11
2024-04-13,RSV,All Ages,1764,2025-04-11
2024-04-13,RSV,00-01 Years,764,2025-04-11
2024-04-13,RSV,02-04 Years,218,2025-04-11
2024-04-13,RSV,05-11 Years,71,2025-04-11
2024-04-13,RSV,12-17 Years,24,2025-04-11
2024-04-13,RSV,18-64 Years,325,2025-04-11
2024-04-13,RSV,65+ Years,362,2025-04-11
2024-04-13,Combined,All Ages,36237,2025-04-11
2024-04-13,Combined,00-01 Years,3223,2025-04-11
2024-04-13,Combined,02-04 Years,2391,2025-04-11
2024-04-13,Combined,05-11 Years,3829,2025-04-11
2024-04-13,Combined,12-17 Years,1711,2025-04-11
2024-04-13,Combined,18-64 Years,16926,2025-04-11
2024-04-13,Combined,65+ Years,8157,2025-04-11
2024-04-20,COVID-19,All Ages,10004,2025-04-18
2024-04-20,COVID-19,00-01 Years,852,2025-04-18
2024-04-20,COVID-19,02-04 Years,232,2025-04-18
2024-04-20,COVID-19,05-11 Years,242,2025-04-18
2024-04-20,COVID-19,12-17 Years,242,2025-04-18
2024-04-20,COVID-19,18-64 Years,4312,2025-04-18
2024-04-20,COVID-19,65+ Years,4124,2025-04-18
2024-04-20,Influenza,All Ages,17281,2025-04-18
2024-04-20,Influenza,00-01 Years,1088,2025-04-18
2024-04-20,Influenza,02-04 Years,1405,2025-04-18
2024-04-20,Influenza,05-11 Years,2922,2025-04-18
2024-04-20,Influenza,12-17 Years,1219,2025-04-18
2024-04-20,Influenza,18-64 Years,8421,2025-04-18
2024-04-20,Influenza,65+ Years,2226,2025-04-18
2024-04-20,RSV,All Ages,1358,2025-04-18
2024-04-20,RSV,00-01 Years,588,2025-04-18
2024-04-20,RSV,02-04 Years,159,2025-04-18
2024-04-20,RSV,05-11 Years,59,2025-04-18
2024-04-20,RSV,12-17 Years,15,2025-04-18
2024-04-20,RSV,18-64 Years,250,2025-04-18
2024-04-20,RSV,65+ Years,287,2025-04-18
2024-04-20,Combined,All Ages,28643,2025-04-18
2024-04-20,Combined,00-01 Years,2528,2025-04-18
2024-04-20,Combined,02-04 Years,1796,2025-04-18
2024-04-20,Combined,05-11 Years,3223,2025-04-18
2024-04-20,Combined,12-17 Years,1476,2025-04-18
2024-04-20,Combined,18-64 Years,12983,2025-04-18
2024-04-20,Combined,65+ Years,6637,2025-04-18
2024-04-27,COVID-19,All Ages,9133,2025-04-18
2024-04-27,COVID-19,00-01 Years,726,2025-04-18
2024-04-27,COVID-19,02-04 Years,187,2025-04-18
2024-04-27,COVID-19,05-11 Years,273,2025-04-18
2024-04-27,COVID-19,12-17 Years,290,2025-04-18
2024-04-27,COVID-19,18-64 Years,4104,2025-04-18
2024-04-27,COVID-19,65+ Years,3553,2025-04-18
2024-04-27,Influenza,All Ages,13749,2025-04-18
2024-04-27,Influenza,00-01 Years,824,2025-04-18
2024-04-27,Influenza,02-04 Years,1135,2025-04-18
2024-04-27,Influenza,05-11 Years,2336,2025-04-18
2024-04-27,Influenza,12-17 Years,1010,2025-04-18
2024-04-27,Influenza,18-64 Years,6669,2025-04-18
2024-04-27,Influenza,65+ Years,1775,2025-04-18
2024-04-27,RSV,All Ages,1148,2025-04-18
2024-04-27,RSV,00-01 Years,547,2025-04-18
2024-04-27,RSV,02-04 Years,139,2025-04-18
2024-04-27,RSV,05-11 Years,48,2025-04-18
2024-04-27,RSV,12-17 Years,16,2025-04-18
2024-04-27,RSV,18-64 Years,201,2025-04-18
2024-04-27,RSV,65+ Years,197,2025-04-18
2024-04-27,Combined,All Ages,24030,2025-04-18
2024-04-27,Combined,00-01 Years,2097,2025-04-18
2024-04-27,Combined,02-04 Years,1461,2025-04-18
2024-04-27,Combined,05-11 Years,2657,2025-04-18
2024-04-27,Combined,12-17 Years,1316,2025-04-18
2024-04-27,Combined,18-64 Years,10974,2025-04-18
2024-04-27,Combined,65+ Years,5525,2025-04-18
2024-05-04,COVID-19,All Ages,9038,2025-05-02
2024-05-04,COVID-19,00-01 Years,709,2025-05-02
2024-05-04,COVID-19,02-04 Years,191,2025-05-02
2024-05-04,COVID-19,05-11 Years,231,2025-05-02
2024-05-04,COVID-19,12-17 Years,252,2025-05-02
2024-05-04,COVID-19,18-64 Years,3946,2025-05-02
2024-05-04,COVID-19,65+ Years,3709,2025-05-02
2024-05-04,Influenza,All Ages,11750,2025-05-02
2024-05-04,Influenza,00-01 Years,736,2025-05-02
2024-05-04,Influenza,02-04 Years,962,2025-05-02
2024-05-04,Influenza,05-11 Years,1978,2025-05-02
2024-05-04,Influenza,12-17 Years,890,2025-05-02
2024-05-04,Influenza,18-64 Years,5595,2025-05-02
2024-05-04,Influenza,65+ Years,1589,2025-05-02
2024-05-04,RSV,All Ages,926,2025-05-02
2024-05-04,RSV,00-01 Years,401,2025-05-02
2024-05-04,RSV,02-04 Years,128,2025-05-02
2024-05-04,RSV,05-11 Years,51,2025-05-02
2024-05-04,RSV,12-17 Years,15,2025-05-02
2024-05-04,RSV,18-64 Years,135,2025-05-02
2024-05-04,RSV,65+ Years,196,2025-05-02
2024-05-04,Combined,All Ages,21714,2025-05-02
2024-05-04,Combined,00-01 Years,1846,2025-05-02
2024-05-04,Combined,02-04 Years,1281,2025-05-02
2024-05-04,Combined,05-11 Years,2260,2025-05-02
2024-05-04,Combined,12-17 Years,1157,2025-05-02
2024-05-04,Combined,18-64 Years,9676,2025-05-02
2024-05-04,Combined,65+ Years,5494,2025-05-02
2024-05-11,COVID-19,All Ages,8951,2025-05-09
2024-05-11,COVID-19,00-01 Years,616,2025-05-09
2024-05-11,COVID-19,02-04 Years,140,2025-05-09
2024-05-11,COVID-19,05-11 Years,209,2025-05-09
2024-05-11,COVID-19,12-17 Years,227,2025-05-09
2024-05-11,COVID-19,18-64 Years,4010,2025-05-09
2024-05-11,COVID-19,65+ Years,3749,2025-05-09
2024-05-11,Influenza,All Ages,9127,2025-05-09
2024-05-11,Influenza,00-01 Years,568,2025-05-09
2024-05-11,Influenza,02-04 Years,744,2025-05-09
2024-05-11,Influenza,05-11 Years,1474,2025-05-09
2024-05-11,Influenza,12-17 Years,744,2025-05-09
2024-05-11,Influenza,18-64 Years,4388,2025-05-09
2024-05-11,Influenza,65+ Years,1209,2025-05-09
2024-05-11,RSV,All Ages,835,2025-05-09
2024-05-11,RSV,00-01 Years,391,2025-05-09
2024-05-11,RSV,02-04 Years,140,2025-05-09
2024-05-11,RSV,05-11 Years,49,2025-05-09
2024-05-11,RSV,12-17 Years,8,2025-05-09
2024-05-11,RSV,18-64 Years,126,2025-05-09
2024-05-11,RSV,65+ Years,121,2025-05-09
2024-05-11,Combined,All Ages,18913,2025-05-09
2024-05-11,Combined,00-01 Years,1575,2025-05-09
2024-05-11,Combined,02-04 Years,1024,2025-05-09
2024-05-11,Combined,05-11 Years,1732,2025-05-09
2024-05-11,Combined,12-17 Years,979,2025-05-09
2024-05-11,Combined,18-64 Years,8524,2025-05-09
2024-05-11,Combined,65+ Years,5079,2025-05-09
2024-05-18,COVID-19,All Ages,10064,2025-05-16
2024-05-18,COVID-19,00-01 Years,717,2025-05-16
2024-05-18,COVID-19,02-04 Years,157,2025-05-16
2024-05-18,COVID-19,05-11 Years,211,2025-05-16
2024-05-18,COVID-19,12-17 Years,234,2025-05-16
2024-05-18,COVID-19,18-64 Years,4524,2025-05-16
2024-05-18,COVID-19,65+ Years,4221,2025-05-16
2024-05-18,Influenza,All Ages,8276,2025-05-16
2024-05-18,Influenza,00-01 Years,522,2025-05-16
2024-05-18,Influenza,02-04 Years,661,2025-05-16
2024-05-18,Influenza,05-11 Years,1241,2025-05-16
2024-05-18,Influenza,12-17 Years,690,2025-05-16
2024-05-18,Influenza,18-64 Years,3992,2025-05-16
2024-05-18,Influenza,65+ Years,1170,2025-05-16
2024-05-18,RSV,All Ages,708,2025-05-16
2024-05-18,RSV,00-01 Years,348,2025-05-16
2024-05-18,RSV,02-04 Years,117,2025-05-16
2024-05-18,RSV,05-11 Years,32,2025-05-16
2024-05-18,RSV,12-17 Years,8,2025-05-16
2024-05-18,RSV,18-64 Years,97,2025-05-16
2024-05-18,RSV,65+ Years,106,2025-05-16
2024-05-18,Combined,All Ages,19048,2025-05-16
2024-05-18,Combined,00-01 Years,1587,2025-05-16
2024-05-18,Combined,02-04 Years,935,2025-05-16
2024-05-18,Combined,05-11 Years,1484,2025-05-16
2024-05-18,Combined,12-17 Years,932,2025-05-16
2024-05-18,Combined,18-64 Years,8613,2025-05-16
2024-05-18,Combined,65+ Years,5497,2025-05-16
2024-05-25,COVID-19,All Ages,11090,2025-05-23
2024-05-25,COVID-19,00-01 Years,825,2025-05-23
2024-05-25,COVID-19,02-04 Years,205,2025-05-23
2024-05-25,COVID-19,05-11 Years,238,2025-05-23
2024-05-25,COVID-19,12-17 Years,233,2025-05-23
2024-05-25,COVID-19,18-64 Years,4993,2025-05-23
2024-05-25,COVID-19,65+ Years,4596,2025-05-23
2024-05-25,Influenza,All Ages,7404,2025-05-23
2024-05-25,Influenza,00-01 Years,510,2025-05-23
2024-05-25,Influenza,02-04 Years,603,2025-05-23
2024-05-25,Influenza,05-11 Years,1085,2025-05-23
2024-05-25,Influenza,12-17 Years,529,2025-05-23
2024-05-25,Influenza,18-64 Years,3482,2025-05-23
2024-05-25,Influenza,65+ Years,1195,2025-05-23
2024-05-25,RSV,All Ages,630,2025-05-23
2024-05-25,RSV,00-01 Years,307,2025-05-23
2024-05-25,RSV,02-04 Years,107,2025-05-23
2024-05-25,RSV,05-11 Years,32,2025-05-23
2024-05-25,RSV,12-17 Years,8,2025-05-23
2024-05-25,RSV,18-64 Years,94,2025-05-23
2024-05-25,RSV,65+ Years,82,2025-05-23
2024-05-25,Combined,All Ages,19124,2025-05-23
2024-05-25,Combined,00-01 Years,1642,2025-05-23
2024-05-25,Combined,02-04 Years,915,2025-05-23
2024-05-25,Combined,05-11 Years,1355,2025-05-23
2024-05-25,Combined,12-17 Years,770,2025-05-23
2024-05-25,Combined,18-64 Years,8569,2025-05-23
2024-05-25,Combined,65+ Years,5873,2025-05-23
2024-06-01,COVID-19,All Ages,13267,2025-05-30
2024-06-01,COVID-19,00-01 Years,981,2025-05-30
2024-06-01,COVID-19,02-04 Years,198,2025-05-30
2024-06-01,COVID-19,05-11 Years,220,2025-05-30
2024-06-01,COVID-19,12-17 Years,211,2025-05-30
2024-06-01,COVID-19,18-64 Years,6088,2025-05-30
2024-06-01,COVID-19,65+ Years,5569,2025-05-30
2024-06-01,Influenza,All Ages,6968,2025-05-30
2024-06-01,Influenza,00-01 Years,452,2025-05-30
2024-06-01,Influenza,02-04 Years,555,2025-05-30
2024-06-01,Influenza,05-11 Years,950,2025-05-30
2024-06-01,Influenza,12-17 Years,442,2025-05-30
2024-06-01,Influenza,18-64 Years,3429,2025-05-30
2024-06-01,Influenza,65+ Years,1140,2025-05-30
2024-06-01,RSV,All Ages,541,2025-05-30
2024-06-01,RSV,00-01 Years,259,2025-05-30
2024-06-01,RSV,02-04 Years,89,2025-05-30
2024-06-01,RSV,05-11 Years,32,2025-05-30
2024-06-01,RSV,12-17 Years,5,2025-05-30
2024-06-01,RSV,18-64 Years,81,2025-05-30
2024-06-01,RSV,65+ Years,75,2025-05-30
2024-06-01,Combined,All Ages,20776,2025-05-30
2024-06-01,Combined,00-01 Years,1692,2025-05-30
2024-06-01,Combined,02-04 Years,842,2025-05-30
2024-06-01,Combined,05-11 Years,1202,2025-05-30
2024-06-01,Combined,12-17 Years,658,2025-05-30
2024-06-01,Combined,18-64 Years,9598,2025-05-30
2024-06-01,Combined,65+ Years,6784,2025-05-30
2024-06-08,COVID-19,All Ages,15535,2025-06-13
2024-06-08,COVID-19,00-01 Years,1131,2025-06-13
2024-06-08,COVID-19,02-04 Years,231,2025-06-13
2024-06-08,COVID-19,05-11 Years,229,2025-06-13
2024-06-08,COVID-19,12-17 Years,291,2025-06-13
2024-06-08,COVID-19,18-64 Years,7352,2025-06-13
2024-06-08,COVID-19,65+ Years,6301,2025-06-13
2024-06-08,Influenza,All Ages,6152,2025-06-13
2024-06-08,Influenza,00-01 Years,436,2025-06-13
2024-06-08,Influenza,02-04 Years,473,2025-06-13
2024-06-08,Influenza,05-11 Years,758,2025-06-13
2024-06-08,Influenza,12-17 Years,316,2025-06-13
2024-06-08,Influenza,18-64 Years,3068,2025-06-13
2024-06-08,Influenza,65+ Years,1101,2025-06-13
2024-06-08,RSV,All Ages,478,2025-06-13
2024-06-08,RSV,00-01 Years,222,2025-06-13
2024-06-08,RSV,02-04 Years,92,2025-06-13
2024-06-08,RSV,05-11 Years,18,2025-06-13
2024-06-08,RSV,12-17 Years,6,2025-06-13
2024-06-08,RSV,18-64 Years,66,2025-06-13
2024-06-08,RSV,65+ Years,74,2025-06-13
2024-06-08,Combined,All Ages,22165,2025-06-13
2024-06-08,Combined,00-01 Years,1789,2025-06-13
2024-06-08,Combined,02-04 Years,796,2025-06-13
2024-06-08,Combined,05-11 Years,1005,2025-06-13
2024-06-08,Combined,12-17 Years,613,2025-06-13
2024-06-08,Combined,18-64 Years,10486,2025-06-13
2024-06-08,Combined,65+ Years,7476,2025-06-13
2024-06-15,COVID-19,All Ages,18466,2025-06-13
2024-06-15,COVID-19,00-01 Years,1381,2025-06-13
2024-06-15,COVID-19,02-04 Years,297,2025-06-13
2024-06-15,COVID-19,05-11 Years,315,2025-06-13
2024-06-15,COVID-19,12-17 Years,291,2025-06-13
2024-06-15,COVID-19,18-64 Years,8808,2025-06-13
2024-06-15,COVID-19,65+ Years,7374,2025-06-13
2024-06-15,Influenza,All Ages,5322,2025-06-13
2024-06-15,Influenza,00-01 Years,347,2025-06-13
2024-06-15,Influenza,02-04 Years,421,2025-06-13
2024-06-15,Influenza,05-11 Years,520,2025-06-13
2024-06-15,Influenza,12-17 Years,266,2025-06-13
2024-06-15,Influenza,18-64 Years,2788,2025-06-13
2024-06-15,Influenza,65+ Years,980,2025-06-13
2024-06-15,RSV,All Ages,433,2025-06-13
2024-06-15,RSV,00-01 Years,222,2025-06-13
2024-06-15,RSV,02-04 Years,72,2025-06-13
2024-06-15,RSV,05-11 Years,12,2025-06-13
2024-06-15,RSV,12-17 Years,5,2025-06-13
2024-06-15,RSV,18-64 Years,61,2025-06-13
2024-06-15,RSV,65+ Years,61,2025-06-13
2024-06-15,Combined,All Ages,24221,2025-06-13
2024-06-15,Combined,00-01 Years,1950,2025-06-13
2024-06-15,Combined,02-04 Years,790,2025-06-13
2024-06-15,Combined,05-11 Years,847,2025-06-13
2024-06-15,Combined,12-17 Years,562,2025-06-13
2024-06-15,Combined,18-64 Years,11657,2025-06-13
2024-06-15,Combined,65+ Years,8415,2025-06-13
2024-06-22,COVID-19,All Ages,23564,2025-06-20
2024-06-22,COVID-19,00-01 Years,1821,2025-06-20
2024-06-22,COVID-19,02-04 Years,386,2025-06-20
2024-06-22,COVID-19,05-11 Years,368,2025-06-20
2024-06-22,COVID-19,12-17 Years,378,2025-06-20
2024-06-22,COVID-19,18-64 Years,11145,2025-06-20
2024-06-22,COVID-19,65+ Years,9466,2025-06-20
2024-06-22,Influenza,All Ages,5062,2025-06-20
2024-06-22,Influenza,00-01 Years,337,2025-06-20
2024-06-22,Influenza,02-04 Years,386,2025-06-20
2024-06-22,Influenza,05-11 Years,444,2025-06-20
2024-06-22,Influenza,12-17 Years,225,2025-06-20
2024-06-22,Influenza,18-64 Years,2716,2025-06-20
2024-06-22,Influenza,65+ Years,954,2025-06-20
2024-06-22,RSV,All Ages,411,2025-06-20
2024-06-22,RSV,00-01 Years,219,2025-06-20
2024-06-22,RSV,02-04 Years,58,2025-06-20
2024-06-22,RSV,05-11 Years,9,2025-06-20
2024-06-22,RSV,12-17 Years,7,2025-06-20
2024-06-22,RSV,18-64 Years,61,2025-06-20
2024-06-22,RSV,65+ Years,57,2025-06-20
2024-06-22,Combined,All Ages,29037,2025-06-20
2024-06-22,Combined,00-01 Years,2377,2025-06-20
2024-06-22,Combined,02-04 Years,830,2025-06-20
2024-06-22,Combined,05-11 Years,821,2025-06-20
2024-06-22,Combined,12-17 Years,610,2025-06-20
2024-06-22,Combined,18-64 Years,13922,2025-06-20
2024-06-22,Combined,65+ Years,10477,2025-06-20
2024-06-29,COVID-19,All Ages,28649,2025-06-27
2024-06-29,COVID-19,00-01 Years,2349,2025-06-27
